mode,size_mb,run,ranks,threads_per_rank,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi+omp,1,1,4,2,0.001364,0.000002,0.001612,0.001914,0.000567,0.000047,0.004092,0.004141,0.000030,11.636276,1.414616,35.365397,0.047750
mpi+omp,1,2,4,2,0.001360,0.000001,0.001602,0.001907,0.000580,0.000047,0.004089,0.004137,0.000030,11.646217,1.415824,35.395609,0.035866
mpi+omp,1,3,4,2,0.001302,0.000001,0.001615,0.001891,0.000565,0.000056,0.004071,0.004129,0.000029,11.696360,1.421920,35.548007,0.036020
mpi+omp,1,4,4,2,0.001280,0.000001,0.001618,0.001919,0.000576,0.000047,0.004113,0.004161,0.000031,11.577003,1.407410,35.185252,0.023747
mpi+omp,1,5,4,2,0.001294,0.000001,0.001607,0.001899,0.000568,0.000047,0.004075,0.004123,0.000030,11.685737,1.420629,35.515721,0.034271
mpi+omp,1,6,4,2,0.001301,0.000002,0.001629,0.001908,0.000572,0.000046,0.004109,0.004157,0.000029,11.588022,1.408750,35.218739,0.045875
mpi+omp,1,7,4,2,0.001395,0.000001,0.001630,0.001879,0.000582,0.000047,0.004090,0.004139,0.000031,11.642043,1.415317,35.382923,0.035853
mpi+omp,1,8,4,2,0.001332,0.000001,0.001624,0.001907,0.000587,0.000047,0.004118,0.004166,0.000031,11.563453,1.405763,35.144069,0.033888
mpi+omp,1,9,4,2,0.001295,0.000001,0.001619,0.001903,0.000556,0.000047,0.004078,0.004126,0.000030,11.677129,1.419582,35.489559,0.035936
mpi+omp,1,10,4,2,0.001383,0.000001,0.001758,0.001889,0.000605,0.000046,0.004252,0.004300,0.000033,11.198424,1.361386,34.034659,0.032842
mpi+omp,50,1,4,2,0.003584,0.000001,0.154877,0.115078,0.053344,0.001309,0.323299,0.324609,0.001406,7.364550,1.206997,30.174930,0.000432
mpi+omp,50,2,4,2,0.003638,0.000001,0.155043,0.114904,0.053682,0.001398,0.323628,0.325027,0.001270,7.357057,1.205769,30.144226,0.000432
mpi+omp,50,3,4,2,0.003549,0.000001,0.154413,0.115456,0.055817,0.001246,0.325685,0.326933,0.001345,7.310594,1.198154,29.953854,0.000450
mpi+omp,50,4,4,2,0.003533,0.000001,0.154646,0.114649,0.053153,0.001291,0.322448,0.323740,0.001085,7.383978,1.210181,30.254529,0.000433
mpi+omp,50,5,4,2,0.003653,0.000001,0.155018,0.114713,0.054600,0.001277,0.324331,0.325609,0.001332,7.341125,1.203158,30.078950,0.000452
mpi+omp,50,6,4,2,0.003516,0.000001,0.154084,0.113433,0.052842,0.001261,0.320359,0.321621,0.001047,7.432137,1.218074,30.451855,0.000458
mpi+omp,50,7,4,2,0.003639,0.000001,0.154312,0.115224,0.053496,0.001250,0.323031,0.324282,0.001661,7.370654,1.207997,30.199936,0.000454
mpi+omp,50,8,4,2,0.003553,0.000002,0.154122,0.114779,0.053502,0.001270,0.322404,0.323676,0.001359,7.385001,1.210349,30.258724,0.000563
mpi+omp,50,9,4,2,0.003626,0.000002,0.154422,0.114125,0.060338,0.001232,0.328884,0.330119,0.001312,7.239477,1.186499,29.662466,0.000573
mpi+omp,50,10,4,2,0.003557,0.000001,0.159193,0.116684,0.054710,0.001280,0.330587,0.331869,0.001642,7.202191,1.180388,29.509692,0.000423
mpi+omp,100,1,4,2,0.006029,0.000001,0.333364,0.236799,0.148907,0.002544,0.719070,0.721615,0.002968,6.622315,1.401076,35.026897,0.000204
mpi+omp,100,2,4,2,0.006039,0.000001,0.332379,0.234279,0.147684,0.002587,0.714341,0.716930,0.002664,6.666153,1.410351,35.258769,0.000196
mpi+omp,100,3,4,2,0.005932,0.000001,0.331969,0.234259,0.147801,0.002524,0.714029,0.716554,0.002752,6.669068,1.410967,35.274185,0.000196
mpi+omp,100,4,4,2,0.006281,0.000001,0.329721,0.238353,0.157865,0.003525,0.725940,0.729466,0.002844,6.559641,1.387816,34.695400,0.000192
mpi+omp,100,5,4,2,0.005991,0.000001,0.331951,0.249912,0.177510,0.002889,0.759372,0.762262,0.002943,6.270845,1.326716,33.167896,0.000184
mpi+omp,100,6,4,2,0.005908,0.000001,0.331873,0.277455,0.174019,0.002504,0.783347,0.785852,0.003109,6.078924,1.286111,32.152783,0.000178
mpi+omp,100,7,4,2,0.008731,0.000001,0.333359,0.263649,0.163668,0.002524,0.760676,0.763201,0.002880,6.260099,1.324442,33.111058,0.000193
mpi+omp,100,8,4,2,0.006700,0.000001,0.335765,0.259043,0.169537,0.002533,0.764345,0.766879,0.003648,6.230049,1.318085,32.952117,0.000192
mpi+omp,100,9,4,2,0.005998,0.000001,0.331803,0.233685,0.150687,0.002693,0.716175,0.718869,0.002670,6.649080,1.406739,35.168466,0.000205
mpi+omp,100,10,4,2,0.006402,0.000001,0.329118,0.239344,0.151177,0.002539,0.719640,0.722181,0.003188,6.617064,1.399965,34.999125,0.000204
mpi+omp,200,1,4,2,0.011253,0.000001,0.726815,0.607108,0.390526,0.005079,1.724449,1.729530,0.005865,5.522812,1.343933,33.598318,0.000081
mpi+omp,200,2,4,2,0.011428,0.000001,0.717209,0.523927,0.380973,0.005130,1.622109,1.627240,0.005845,5.871251,1.428723,35.718066,0.000090
mpi+omp,200,3,4,2,0.011563,0.000001,0.739916,0.750365,0.393452,0.005169,1.883733,1.888904,0.005756,5.055817,1.230293,30.757331,0.000078
mpi+omp,200,4,4,2,0.011150,0.000001,0.713776,0.534810,0.370657,0.005062,1.619244,1.624308,0.005794,5.881639,1.431251,35.781264,0.000091
mpi+omp,200,5,4,2,0.011136,0.000001,0.710130,0.509868,0.370923,0.004999,1.590922,1.595922,0.005825,5.986347,1.456730,36.418260,0.000088
mpi+omp,200,6,4,2,0.011103,0.000001,0.716557,0.544642,0.418620,0.005063,1.679820,1.684885,0.005794,5.669541,1.379638,34.490952,0.000083
mpi+omp,200,7,4,2,0.011136,0.000001,0.712679,0.522343,0.367818,0.004976,1.602840,1.607818,0.005947,5.941834,1.445898,36.147462,0.000091
mpi+omp,200,8,4,2,0.011070,0.000001,0.715076,0.522934,0.375386,0.005009,1.613396,1.618406,0.005885,5.902959,1.436439,35.910967,0.000091
mpi+omp,200,9,4,2,0.011143,0.000001,0.719076,0.551727,0.370937,0.005265,1.641740,1.647006,0.005753,5.801048,1.411639,35.290981,0.000089
mpi+omp,200,10,4,2,0.011232,0.000001,0.721520,0.520416,0.372974,0.004954,1.614911,1.619866,0.005824,5.897421,1.435091,35.877276,0.000091
mpi+omp,500,1,4,2,0.026092,0.000001,2.026541,2.590557,1.111776,0.012609,5.728874,5.741485,0.012371,4.156057,1.223113,30.577834,0.000024
mpi+omp,500,2,4,2,0.025798,0.000001,1.993366,2.478282,1.143121,0.013052,5.614769,5.627823,0.012669,4.240517,1.247970,31.199242,0.000016
mpi+omp,500,3,4,2,0.026067,0.000001,1.965228,2.424718,1.115755,0.012556,5.505701,5.518258,0.012403,4.324522,1.272692,31.817301,0.000025
mpi+omp,500,4,4,2,0.025994,0.000001,1.999235,2.433246,1.106134,0.012465,5.538615,5.551082,0.011917,4.298823,1.265129,31.628222,0.000026
mpi+omp,500,5,4,2,0.026069,0.000001,2.004180,2.598553,1.169544,0.018756,5.772276,5.791034,0.012473,4.124807,1.213917,30.347914,0.000025
mpi+omp,500,6,4,2,0.025902,0.000001,1.959558,2.710172,1.108139,0.012556,5.777869,5.790426,0.012471,4.120814,1.212742,30.318542,0.000025
mpi+omp,500,7,4,2,0.025940,0.000001,2.030176,2.787368,1.137439,0.012876,5.954983,5.967860,0.012398,3.998252,1.176672,29.416800,0.000023
mpi+omp,500,8,4,2,0.025888,0.000001,1.968301,2.553574,1.144579,0.013185,5.666453,5.679640,0.012419,4.201839,1.236587,30.914673,0.000026
mpi+omp,500,9,4,2,0.025889,0.000001,2.037117,2.877179,1.172034,0.012655,6.086330,6.098987,0.013560,3.911967,1.151279,28.781967,0.000024
mpi+omp,500,10,4,2,0.026008,0.000001,1.963589,2.731505,1.212790,0.012477,5.907884,5.920362,0.012247,4.030127,1.186053,29.651319,0.000024
